Тип,Значение
Приоритет,High
Приоритет,Medium
Приоритет,Low
Статус тест-кейса,Not Run
Статус тест-кейса,Passed
Статус тест-кейса,Failed
Статус тест-кейса,Blocked
Severity,Critical
Severity,Major
Severity,Medium
Severity,Low
Статус бага,Open
Статус бага,In Progress
Статус бага,Resolved
Статус бага,Closed
Модуль,Установка
Модуль,Запуск
Модуль,Onboarding
Модуль,Поиск
Модуль,Статья
Модуль,Навигация
Модуль,Языки
Модуль,Сохраненные статьи
Модуль,История
Модуль,Share
Модуль,Сеть
Модуль,Background
Модуль,Ориентация
Модуль,Настройки
