ID требования,Описание требования,ID тест-кейса,Статус покрытия
REQ-001,Приложение должно успешно устанавливаться на устройство,TC-001,Covered
REQ-002,Приложение должно запускаться без crash после установки,TC-002,Covered
REQ-003,При первом запуске должен отображаться onboarding,TC-003,Covered
REQ-004,Пользователь должен иметь возможность пропустить onboarding,TC-004,Covered
REQ-005,Пользователь должен иметь возможность переключаться между onboarding-экранами свайпом,TC-005,Covered
REQ-006,Пользователь должен иметь возможность искать статьи по валидному запросу,TC-006,Covered
REQ-007,Приложение должно корректно работать при пустом поисковом запросе,TC-007,Covered
REQ-008,Приложение не должно падать при поиске по спецсимволам,TC-008,Covered
REQ-009,Пользователь должен иметь возможность искать статьи на других языках,TC-009,Covered
REQ-010,Список результатов поиска должен корректно прокручиваться,TC-010,Covered
REQ-011,Пользователь должен иметь возможность открыть статью из поисковой выдачи,TC-011,Covered
REQ-012,Заголовок статьи должен отображаться корректно,TC-012,Covered
REQ-013,Текст статьи должен отображаться без визуальных ошибок,TC-013,Covered
REQ-014,Пользователь должен иметь возможность переходить по внутренним ссылкам статьи,TC-014,Covered
REQ-015,После перехода по внутренней ссылке пользователь должен иметь возможность вернуться назад,TC-015,Covered
REQ-016,Пользователь должен иметь возможность открыть список языков статьи,TC-016,Covered
REQ-017,Пользователь должен иметь возможность открыть статью на выбранном языке,TC-017,Covered
REQ-018,Пользователь должен иметь возможность сохранить статью,TC-018,Covered
REQ-019,Сохраненная статья должна отображаться в списке сохраненных,TC-019,Covered
REQ-020,Пользователь должен иметь возможность открыть статью из списка сохраненных,TC-020,Covered
REQ-021,Открытая статья должна попадать в историю просмотров,TC-021,Covered
REQ-022,Пользователь должен иметь возможность открыть статью из истории,TC-022,Covered
REQ-023,Пользователь должен иметь возможность открыть системное меню share,TC-023,Covered
REQ-024,Отмена системного share не должна вызывать ошибку,TC-024,Covered
REQ-025,При отсутствии интернета приложение должно корректно обрабатывать открытие статьи,TC-025,Covered
REQ-026,При отсутствии интернета приложение должно корректно обрабатывать поиск,TC-026,Covered
REQ-027,После сворачивания приложения состояние текущего экрана должно сохраняться,TC-027,Covered
REQ-028,Интерфейс должен корректно отображаться при смене ориентации устройства,TC-028,Covered
