ID,Модуль,Проверка,Приоритет,Статус,Комментарий
CH-001,Установка,Приложение успешно устанавливается на устройство,High,Passed,Установка завершена без ошибок
CH-002,Запуск,Приложение запускается без crash,High,Passed,Приложение открывается стабильно
CH-003,Onboarding,Onboarding отображается при первом запуске,High,Passed,Экраны отображаются корректно
CH-004,Onboarding,Onboarding можно пропустить,Medium,Passed,Переход на главный экран выполняется
CH-005,Поиск,Поиск возвращает результаты по валидному запросу,High,Passed,Результаты отображаются
CH-006,Поиск,Поиск корректно обрабатывает пустой запрос,Medium,Passed,Приложение не ломается
CH-007,Статья,Статья открывается из поисковой выдачи,High,Passed,Статья открывается корректно
CH-008,Навигация,Переход по внутренней ссылке внутри статьи работает,Medium,Passed,Навигация работает
CH-009,Языки,Можно переключить язык статьи,High,Failed,Открывается некорректная локализация
CH-010,Сохраненные статьи,Статью можно сохранить,High,Passed,Сохранение работает
CH-011,Сохраненные статьи,Сохраненная статья отображается в списке,High,Passed,Статья отображается
CH-012,История,Открытая статья попадает в историю,Medium,Passed,История обновляется
CH-013,Share,Статью можно отправить через системный share,Medium,Passed,Системное меню открывается
CH-014,Сеть,При отсутствии интернета отображается сообщение об ошибке,High,Failed,Нет понятного сообщения
CH-015,Background,После сворачивания сохраняется текущее состояние,High,Passed,Экран сохраняется
CH-016,Ориентация,Экран корректно отображается при смене ориентации,Medium,Passed,UI не ломается
CH-017,Настройки,Экран настроек открывается без ошибок,Low,Passed,Открывается корректно
CH-018,Поиск,Список результатов скроллится без зависаний,Medium,Passed,Скролл работает плавно
