ID,Модуль,Название тест-кейса,Приоритет,Предусловия,Шаги,Тестовые данные,Ожидаемый результат,Фактический результат,Статус
TC-001,Установка,Установка приложения из стора,High,Устройство готово к установке,1. Открыть стор 2. Найти приложение 3. Нажать Установить,,Приложение устанавливается успешно,Установлено успешно,Passed
TC-002,Запуск,Первый запуск приложения,High,Приложение установлено,1. Запустить приложение,,Приложение открывается без crash,Открывается корректно,Passed
TC-003,Onboarding,Отображение onboarding при первом запуске,High,Первый запуск приложения,1. Запустить приложение,,Onboarding отображается,Onboarding отображается,Passed
TC-004,Onboarding,Пропуск onboarding,Medium,Отображается onboarding,1. Нажать Skip,,Открывается главный экран,Главный экран открыт,Passed
TC-005,Onboarding,Переключение между экранами onboarding свайпом,Medium,Отображается onboarding,1. Свайпнуть влево/вправо,,Экраны переключаются корректно,Экраны переключаются,Passed
TC-006,Поиск,Поиск статьи по валидному запросу,High,Приложение запущено; интернет доступен,1. Открыть поиск 2. Ввести Python,Python,Отображается релевантная выдача,Выдача корректна,Passed
TC-007,Поиск,Поиск статьи по пустому запросу,Medium,Приложение запущено,1. Открыть поиск 2. Не вводить текст,,Приложение работает стабильно без ошибок,Ошибок нет,Passed
TC-008,Поиск,Поиск статьи по спецсимволам,Medium,Приложение запущено; интернет доступен,1. Открыть поиск 2. Ввести ###,@@@,Приложение не падает; результат обрабатывается корректно,Приложение стабильно,Passed
TC-009,Поиск,Поиск статьи на другом языке,Medium,Приложение запущено; интернет доступен,1. Открыть поиск 2. Ввести запрос на другом языке,Питон,Отображаются релевантные результаты,Результаты отображаются,Passed
TC-010,Поиск,Скролл поисковой выдачи,Medium,Выполнен поиск с большим числом результатов,1. Прокрутить список вниз,,Список прокручивается плавно,Прокрутка корректна,Passed
TC-011,Статья,Открытие статьи из результатов поиска,High,Поиск выполнен,1. Выбрать статью Python,,Статья открывается,Статья открыта,Passed
TC-012,Статья,Отображение заголовка статьи,Medium,Открыта статья,1. Проверить заголовок,,Заголовок статьи отображается корректно,Заголовок отображается,Passed
TC-013,Статья,Отображение текста статьи,Medium,Открыта статья,1. Проскроллить статью,,Текст отображается без визуальных ошибок,Отображение корректно,Passed
TC-014,Навигация,Переход по внутренней ссылке внутри статьи,Medium,Открыта статья,1. Нажать на ссылку внутри текста,,Открывается новая статья/раздел,Переход выполнен,Passed
TC-015,Навигация,Возврат назад после перехода по внутренней ссылке,Medium,Открыта статья после перехода по ссылке,1. Нажать Назад,,Пользователь возвращается на предыдущую статью,Возврат работает,Passed
TC-016,Языки,Открытие списка языков статьи,Medium,Открыта статья с несколькими локализациями,1. Открыть выбор языка,,Список языков отображается,Список отображается,Passed
TC-017,Языки,Переключение языка статьи,High,Открыта статья с несколькими языковыми версиями,1. Выбрать другой язык,,Открывается статья на выбранном языке,Открывается некорректная языковая версия,Failed
TC-018,Сохраненные статьи,Сохранение статьи,High,Открыта статья,1. Нажать Save,,Статья сохраняется,Сохранение прошло успешно,Passed
TC-019,Сохраненные статьи,Проверка статьи в списке сохраненных,High,Статья сохранена,1. Перейти в Saved,,Статья отображается в сохраненных,Статья отображается,Passed
TC-020,Сохраненные статьи,Открытие статьи из списка сохраненных,Medium,Есть сохраненная статья,1. Открыть Saved 2. Выбрать статью,,Статья открывается,Статья открывается,Passed
TC-021,История,Добавление статьи в историю просмотров,Medium,Открыта статья,1. Открыть статью 2. Перейти в History,,Статья есть в истории,Статья отображается,Passed
TC-022,История,Открытие статьи из истории,Low,В истории есть статья,1. Открыть History 2. Нажать на статью,,Статья открывается из истории,Статья открывается,Passed
TC-023,Share,Открытие системного меню share,Medium,Открыта статья,1. Нажать Share,,Открывается системное меню шаринга,Меню открывается,Passed
TC-024,Share,Отмена системного share без ошибки,Low,Открыто системное меню share,1. Закрыть меню share,,Пользователь возвращается в приложение без ошибки,Возврат корректен,Passed
TC-025,Сеть,Открытие статьи без интернета,High,Интернет отключен,1. Запустить приложение 2. Открыть статью,,Отображается понятное сообщение о проблеме сети,Нет понятного сообщения об ошибке,Failed
TC-026,Сеть,Работа поиска без интернета,High,Интернет отключен,1. Открыть поиск 2. Ввести запрос,Python,Приложение корректно сообщает об отсутствии сети,Отображение ошибки нестабильно,Failed
TC-027,Background,Сохранение состояния после сворачивания приложения,High,Открыта статья,1. Свернуть приложение 2. Вернуться обратно,,Открывается тот же экран,Состояние сохранено,Passed
TC-028,Ориентация,Проверка отображения статьи при смене ориентации,Medium,Открыта статья,1. Повернуть устройство,,Интерфейс не ломается и данные не теряются,UI отображается корректно,Passed
